transactionId,date,amount,currency,status
TXN0001,2025-06-24,2377.66,EUR,PENDING
TXN0002,2025-06-25,4763.08,EUR,SUCCESS
TXN0003,2025-06-27,695.01,INR,FAILED
TXN0004,2025-06-23,3393.95,EUR,SUCCESS
TXN0005,2025-06-20,973.62,INR,SUCCESS
TXN0006,2025-06-26,4855.7,INR,FAILED
TXN0007,2025-06-21,1545.59,USD,PENDING
TXN0008,2025-06-19,1653.9,USD,FAILED
TXN0009,2025-06-17,3355.5,INR,PENDING
TXN0010,2025-06-24,3537.79,INR,SUCCESS
TXN0011,2025-06-24,2477.89,USD,SUCCESS
TXN0012,2025-06-21,2811.25,EUR,SUCCESS
TXN0013,2025-06-25,1726.41,EUR,FAILED
TXN0014,2025-06-19,2320.8,USD,FAILED
TXN0015,2025-06-27,769.76,EUR,SUCCESS
TXN0016,2025-06-23,4804.32,USD,SUCCESS
TXN0017,2025-06-22,3991.56,USD,PENDING
TXN0018,2025-06-19,4379.86,EUR,PENDING
TXN0019,2025-06-18,4181.06,EUR,SUCCESS
TXN0020,2025-06-17,1644.47,USD,SUCCESS
TXN0021,2025-06-26,3018.59,USD,PENDING
TXN0022,2025-06-19,1502.76,INR,SUCCESS
TXN0023,2025-06-20,2564.72,EUR,SUCCESS
TXN0024,2025-06-27,4104.68,INR,PENDING
TXN0025,2025-06-20,1213.9,INR,FAILED
TXN0026,2025-06-23,2916.67,USD,PENDING
TXN0027,2025-06-24,1631.99,INR,SUCCESS
TXN0028,2025-06-20,869.58,EUR,SUCCESS
TXN0029,2025-06-21,600.54,EUR,PENDING
TXN0030,2025-06-25,1362.29,USD,PENDING
TXN0031,2025-06-22,2685.28,EUR,SUCCESS
TXN0032,2025-06-20,3757.48,USD,PENDING
TXN0033,2025-06-20,1234.75,INR,PENDING
TXN0034,2025-06-24,1849.95,INR,PENDING
TXN0035,2025-06-21,464.34,USD,FAILED
TXN0036,2025-06-27,3781.35,EUR,PENDING
TXN0037,2025-06-27,1498.29,INR,FAILED
TXN0038,2025-06-26,2437.01,EUR,FAILED
TXN0039,2025-06-23,3920.43,INR,FAILED
TXN0040,2025-06-24,3385.29,EUR,FAILED
TXN0041,2025-06-23,1929.31,USD,SUCCESS
TXN0042,2025-06-17,2463.17,EUR,SUCCESS
TXN0043,2025-06-22,3074.52,EUR,SUCCESS
TXN0044,2025-06-24,2446.13,INR,FAILED
TXN0045,2025-06-20,3716.26,INR,SUCCESS
TXN0046,2025-06-23,251.84,INR,SUCCESS
TXN0047,2025-06-26,4332.74,USD,SUCCESS
TXN0048,2025-06-24,3943.83,USD,FAILED
