OrderId,TraderId,TradeType,OrderType,Price,Quantity,RemainingQuantity,Status,Timestamp
BUY-1763965650519-000329,TRADER-0329,EQUITY,BUY,300.0,23,0,FILLED,2025-01-15 08:09:30.0
BUY-1763965650521-001162,TRADER-0162,EQUITY,BUY,259.27,120,0,FILLED,2025-01-15 18:06:29.0
BUY-1763965650521-001212,TRADER-0212,CRYPTO,BUY,3618.06,9,0,FILLED,2025-01-15 18:19:13.0
BUY-1763965650520-000646,TRADER-0146,EQUITY,BUY,260.34,380,0,FILLED,2025-01-15 12:03:41.0
BUY-1763965650520-000916,TRADER-0416,EQUITY,BUY,465.1,146,0,FILLED,2025-01-15 14:40:20.0
BUY-1763965650520-000669,TRADER-0169,FOREX,BUY,9.39,435,0,FILLED,2025-01-15 12:24:10.0
BUY-1763965650521-001216,TRADER-0216,CRYPTO,BUY,4542.25,2,0,FILLED,2025-01-15 18:37:35.0
BUY-1763965650522-001694,TRADER-0194,EQUITY,BUY,211.98,250,0,FILLED,2025-01-15 23:57:50.0
BUY-1763965650522-001623,TRADER-0123,CRYPTO,BUY,1350.22,32,0,FILLED,2025-01-15 23:08:39.0
BUY-1763965650521-001229,TRADER-0229,FOREX,BUY,5.83,541,0,FILLED,2025-01-15 18:22:09.0
BUY-1763965650520-000880,TRADER-0380,EQUITY,BUY,338.39,252,0,FILLED,2025-01-15 14:28:46.0
BUY-1763965650518-000011,TRADER-0011,EQUITY,BUY,200.0,25,0,FILLED,2025-01-15 03:53:55.0
BUY-1763965650521-001580,TRADER-0080,EQUITY,BUY,237.51,405,0,FILLED,2025-01-15 22:43:35.0
BUY-1763965650529-007040,TRADER-0040,FOREX,BUY,6.57,369,0,FILLED,2025-01-18 16:40:53.0
BUY-1763965650522-001653,TRADER-0153,FOREX,BUY,8.15,135,0,FILLED,2025-01-15 23:42:30.0
BUY-1763965650522-001815,TRADER-0315,EQUITY,BUY,451.17,39,0,FILLED,2025-01-16 01:48:19.0
BUY-1763965650519-000328,TRADER-0328,CRYPTO,BUY,2500.0,12,0,FILLED,2025-01-15 07:32:02.0
BUY-1763965650521-001469,TRADER-0469,CRYPTO,BUY,3397.83,11,0,FILLED,2025-01-15 21:40:01.0
BUY-1763965650526-005055,TRADER-0055,EQUITY,BUY,279.59,227,0,FILLED,2025-01-17 16:58:06.0
BUY-1763965650526-004933,TRADER-0433,FOREX,BUY,6.16,300,0,FILLED,2025-01-17 14:57:09.0
BUY-1763965650524-003460,TRADER-0460,CRYPTO,BUY,2154.18,16,0,FILLED,2025-01-16 21:37:45.0
BUY-1763965650521-001247,TRADER-0247,FOREX,BUY,7.07,367,0,FILLED,2025-01-15 19:23:17.0
BUY-1763965650521-001235,TRADER-0235,CRYPTO,BUY,1533.83,16,0,FILLED,2025-01-15 18:42:36.0
BUY-1763965650524-003057,TRADER-0057,EQUITY,BUY,255.75,380,0,FILLED,2025-01-16 17:10:01.0
BUY-1763965650523-002927,TRADER-0427,EQUITY,BUY,414.14,33,0,FILLED,2025-01-16 15:04:56.0
BUY-1763965650523-002634,TRADER-0134,CRYPTO,BUY,3470.83,9,0,FILLED,2025-01-16 11:54:32.0
BUY-1763965650522-001669,TRADER-0169,CRYPTO,BUY,879.47,41,0,FILLED,2025-01-16 00:06:52.0
BUY-1763965650526-004535,TRADER-0035,EQUITY,BUY,397.34,176,0,FILLED,2025-01-17 10:53:44.0
BUY-1763965650522-001766,TRADER-0266,EQUITY,BUY,218.63,218,0,FILLED,2025-01-16 01:23:20.0
BUY-1763965650521-001215,TRADER-0215,CRYPTO,BUY,4873.23,10,0,FILLED,2025-01-15 18:24:23.0
BUY-1763965650524-003161,TRADER-0161,FOREX,BUY,7.36,287,0,FILLED,2025-01-16 17:37:02.0
BUY-1763965650525-004215,TRADER-0215,EQUITY,BUY,266.2,318,0,FILLED,2025-01-17 06:40:18.0
BUY-1763965650526-004640,TRADER-0140,EQUITY,BUY,262.4,372,0,FILLED,2025-01-17 11:57:11.0
BUY-1763965650525-004068,TRADER-0068,CRYPTO,BUY,2073.6,11,0,FILLED,2025-01-17 05:02:26.0
BUY-1763965650523-002664,TRADER-0164,EQUITY,BUY,329.61,65,0,FILLED,2025-01-16 12:19:08.0
BUY-1763965650521-001367,TRADER-0367,CRYPTO,BUY,2382.64,18,0,FILLED,2025-01-15 20:00:26.0
BUY-1763965650522-001662,TRADER-0162,EQUITY,BUY,293.29,287,0,FILLED,2025-01-16 00:11:14.0
BUY-1763965650521-001306,TRADER-0306,EQUITY,BUY,142.34,228,0,FILLED,2025-01-15 19:31:15.0
BUY-1763965650525-004336,TRADER-0336,CRYPTO,BUY,1156.6,12,0,FILLED,2025-01-17 08:26:49.0
BUY-1763965650525-004180,TRADER-0180,EQUITY,BUY,391.19,138,0,FILLED,2025-01-17 06:12:01.0
BUY-1763965650519-000311,TRADER-0311,EQUITY,BUY,250.0,81,0,FILLED,2025-01-15 07:40:52.0
BUY-1763965650526-004601,TRADER-0101,CRYPTO,BUY,3704.2,1,0,FILLED,2025-01-17 11:29:34.0
BUY-1763965650520-000763,TRADER-0263,EQUITY,BUY,155.78,565,0,FILLED,2025-01-15 12:55:15.0
BUY-1763965650525-004078,TRADER-0078,FOREX,BUY,6.04,244,0,FILLED,2025-01-17 04:29:20.0
BUY-1763965650521-001315,TRADER-0315,EQUITY,BUY,253.76,361,0,FILLED,2025-01-15 19:34:56.0
BUY-1763965650522-001622,TRADER-0122,EQUITY,BUY,478.51,103,0,FILLED,2025-01-15 23:04:41.0
BUY-1763965650520-000887,TRADER-0387,CRYPTO,BUY,3174.4,12,0,FILLED,2025-01-15 14:43:32.0
BUY-1763965650521-001446,TRADER-0446,CRYPTO,BUY,4168.92,2,0,FILLED,2025-01-15 21:36:25.0
BUY-1763965650526-004809,TRADER-0309,EQUITY,BUY,471.83,181,0,FILLED,2025-01-17 13:20:06.0
BUY-1763965650523-002851,TRADER-0351,FOREX,BUY,5.27,686,0,FILLED,2025-01-16 14:06:50.0
BUY-1763965650521-001239,TRADER-0239,FOREX,BUY,5.54,309,0,FILLED,2025-01-15 18:23:06.0
BUY-1763965650521-001440,TRADER-0440,FOREX,BUY,6.74,995,0,FILLED,2025-01-15 21:16:21.0
BUY-1763965650523-002650,TRADER-0150,FOREX,BUY,4.32,911,0,FILLED,2025-01-16 11:22:28.0
BUY-1763965650526-004849,TRADER-0349,EQUITY,BUY,351.55,157,0,FILLED,2025-01-17 13:41:44.0
BUY-1763965650521-001242,TRADER-0242,CRYPTO,BUY,4257.32,6,0,FILLED,2025-01-15 18:27:46.0
BUY-1763965650519-000365,TRADER-0365,CRYPTO,BUY,1000.0,50,0,FILLED,2025-01-15 07:57:49.0
BUY-1763965650523-002578,TRADER-0078,CRYPTO,BUY,3686.93,1,0,FILLED,2025-01-16 10:56:13.0
BUY-1763965650524-003109,TRADER-0109,CRYPTO,BUY,3590.22,2,0,FILLED,2025-01-16 17:22:06.0
BUY-1763965650524-003153,TRADER-0153,EQUITY,BUY,417.31,178,0,FILLED,2025-01-16 18:12:59.0
BUY-1763965650524-003144,TRADER-0144,CRYPTO,BUY,1762.56,28,0,FILLED,2025-01-16 17:47:00.0
BUY-1763965650523-002675,TRADER-0175,EQUITY,BUY,303.75,320,0,FILLED,2025-01-16 11:43:24.0
BUY-1763965650525-004186,TRADER-0186,CRYPTO,BUY,4615.68,6,0,FILLED,2025-01-17 06:25:33.0
BUY-1763965650520-000787,TRADER-0287,EQUITY,BUY,451.39,31,0,FILLED,2025-01-15 13:27:43.0
BUY-1763965650520-000672,TRADER-0172,EQUITY,BUY,251.31,70,0,FILLED,2025-01-15 11:55:51.0
BUY-1763965650524-003166,TRADER-0166,FOREX,BUY,4.57,171,0,FILLED,2025-01-16 18:06:56.0
BUY-1763965650526-004802,TRADER-0302,FOREX,BUY,8.05,999,0,FILLED,2025-01-17 13:08:24.0
BUY-1763965650525-004361,TRADER-0361,CRYPTO,BUY,2210.59,8,0,FILLED,2025-01-17 08:10:21.0
BUY-1763965650524-003068,TRADER-0068,EQUITY,BUY,454.1,211,0,FILLED,2025-01-16 16:45:23.0
BUY-1763965650521-001600,TRADER-0100,CRYPTO,BUY,831.43,33,0,FILLED,2025-01-15 22:56:19.0
BUY-1763965650522-001781,TRADER-0281,EQUITY,BUY,482.58,67,0,FILLED,2025-01-16 01:15:32.0
BUY-1763965650526-004686,TRADER-0186,EQUITY,BUY,335.79,37,0,FILLED,2025-01-17 12:17:17.0
BUY-1763965650521-001302,TRADER-0302,CRYPTO,BUY,426.61,52,0,FILLED,2025-01-15 19:19:37.0
BUY-1763965650526-004671,TRADER-0171,EQUITY,BUY,423.34,191,0,FILLED,2025-01-17 12:25:49.0
BUY-1763965650526-004387,TRADER-0387,EQUITY,BUY,346.47,282,0,FILLED,2025-01-17 09:05:29.0
