OrderId,TraderId,TradeType,OrderType,Price,Quantity,RemainingQuantity,Status,Timestamp
BUY-1763965650526-004688,TRADER-0188,FOREX,BUY,1.42,844,844,PENDING,2025-01-17 12:29:13.0
BUY-1763965650521-001453,TRADER-0453,FOREX,BUY,4.16,892,892,PENDING,2025-01-15 21:06:12.0
BUY-1763965650522-002037,TRADER-0037,CRYPTO,BUY,337.34,131,131,PENDING,2025-01-16 04:10:04.0
BUY-1763965650519-000269,TRADER-0269,FOREX,BUY,3.5,61,61,PENDING,2025-01-15 07:03:37.0
BUY-1763965650519-000521,TRADER-0021,FOREX,BUY,2.67,18,18,PENDING,2025-01-15 10:28:56.0
BUY-1763965650518-000149,TRADER-0149,FOREX,BUY,3.5,13,13,PENDING,2025-01-15 05:25:10.0
BUY-1763965650520-000894,TRADER-0394,FOREX,BUY,1.71,986,986,PENDING,2025-01-15 14:23:19.0
BUY-1763965650519-000417,TRADER-0417,FOREX,BUY,3.0,87,87,PENDING,2025-01-15 09:03:47.0
BUY-1763965650522-001846,TRADER-0346,FOREX,BUY,1.5,269,269,PENDING,2025-01-16 01:51:28.0
BUY-1763965650523-002621,TRADER-0121,FOREX,BUY,1.85,570,570,PENDING,2025-01-16 11:23:46.0
BUY-1763965650526-004653,TRADER-0153,CRYPTO,BUY,266.36,168,168,PENDING,2025-01-17 12:01:31.0
BUY-1763965650520-000896,TRADER-0396,EQUITY,BUY,87.28,796,796,PENDING,2025-01-15 14:40:41.0
BUY-1763965650522-001831,TRADER-0331,EQUITY,BUY,64.7,477,477,PENDING,2025-01-16 02:11:02.0
BUY-1763965650526-004670,TRADER-0170,EQUITY,BUY,54.74,124,124,PENDING,2025-01-17 12:20:16.0
BUY-1763965650522-001771,TRADER-0271,EQUITY,BUY,107.45,637,637,PENDING,2025-01-16 01:08:49.0
BUY-1763965650521-001466,TRADER-0466,CRYPTO,BUY,180.93,175,175,PENDING,2025-01-15 21:10:19.0
BUY-1763965650522-001630,TRADER-0130,EQUITY,BUY,126.33,342,342,PENDING,2025-01-15 23:39:09.0
BUY-1763965650523-002847,TRADER-0347,FOREX,BUY,3.58,883,883,PENDING,2025-01-16 13:46:50.0
BUY-1763965650524-003100,TRADER-0100,FOREX,BUY,1.84,285,285,PENDING,2025-01-16 17:23:25.0
BUY-1763965650519-000282,TRADER-0282,FOREX,BUY,1.5,33,33,PENDING,2025-01-15 06:58:25.0
BUY-1763965650521-001361,TRADER-0361,FOREX,BUY,1.71,367,367,PENDING,2025-01-15 20:09:08.0
BUY-1763965650519-000439,TRADER-0439,FOREX,BUY,2.0,91,91,PENDING,2025-01-15 08:53:17.0
BUY-1763965650526-004715,TRADER-0215,FOREX,BUY,2.11,398,398,PENDING,2025-01-17 12:22:06.0
BUY-1763965650523-002751,TRADER-0251,FOREX,BUY,2.75,216,216,PENDING,2025-01-16 13:06:58.0
BUY-1763965650518-000141,TRADER-0141,FOREX,BUY,3.0,35,35,PENDING,2025-01-15 05:53:50.0
BUY-1763965650525-004040,TRADER-0040,EQUITY,BUY,86.69,701,701,PENDING,2025-01-17 04:51:52.0
BUY-1763965650518-000076,TRADER-0076,FOREX,BUY,2.5,12,12,PENDING,2025-01-15 05:22:56.0
BUY-1763965650523-002806,TRADER-0306,CRYPTO,BUY,115.61,184,184,PENDING,2025-01-16 14:09:57.0
BUY-1763965650522-001790,TRADER-0290,FOREX,BUY,2.14,820,820,PENDING,2025-01-16 01:55:38.0
BUY-1763965650525-004144,TRADER-0144,EQUITY,BUY,106.74,925,925,PENDING,2025-01-17 05:37:09.0
BUY-1763965650518-000145,TRADER-0145,FOREX,BUY,3.5,25,25,PENDING,2025-01-15 05:29:18.0
BUY-1763965650526-004823,TRADER-0323,FOREX,BUY,2.41,774,774,PENDING,2025-01-17 13:24:53.0
BUY-1763965650524-003421,TRADER-0421,EQUITY,BUY,67.16,732,732,PENDING,2025-01-16 21:16:19.0
BUY-1763965650524-003194,TRADER-0194,FOREX,BUY,3.94,875,875,PENDING,2025-01-16 18:38:37.0
BUY-1763965650525-003966,TRADER-0466,EQUITY,BUY,79.22,444,444,PENDING,2025-01-17 03:42:43.0
BUY-1763965650521-001343,TRADER-0343,FOREX,BUY,3.84,975,975,PENDING,2025-01-15 20:33:19.0
BUY-1763965650526-004987,TRADER-0487,EQUITY,BUY,70.79,143,143,PENDING,2025-01-17 16:00:40.0
BUY-1763965650522-001654,TRADER-0154,EQUITY,BUY,86.39,237,237,PENDING,2025-01-15 23:22:37.0
BUY-1763965650520-000762,TRADER-0262,CRYPTO,BUY,408.78,81,81,PENDING,2025-01-15 13:22:16.0
BUY-1763965650521-001323,TRADER-0323,FOREX,BUY,1.67,638,638,PENDING,2025-01-15 19:58:56.0
BUY-1763965650519-000412,TRADER-0412,FOREX,BUY,3.5,27,27,PENDING,2025-01-15 09:17:10.0
BUY-1763965650524-003211,TRADER-0211,FOREX,BUY,1.06,753,753,PENDING,2025-01-16 19:01:42.0
BUY-1763965650521-001534,TRADER-0034,FOREX,BUY,2.88,381,381,PENDING,2025-01-15 22:02:10.0
BUY-1763965650519-000384,TRADER-0384,EQUITY,BUY,100.0,42,42,PENDING,2025-01-15 08:47:50.0
BUY-1763965650521-001164,TRADER-0164,FOREX,BUY,1.3,814,814,PENDING,2025-01-15 18:05:42.0
BUY-1763965650521-001400,TRADER-0400,FOREX,BUY,3.28,29,29,PENDING,2025-01-15 21:15:19.0
BUY-1763965650519-000323,TRADER-0323,FOREX,BUY,2.0,28,28,PENDING,2025-01-15 07:42:19.0
BUY-1763965650523-002860,TRADER-0360,EQUITY,BUY,83.59,289,289,PENDING,2025-01-16 14:37:20.0
BUY-1763965650526-004563,TRADER-0063,EQUITY,BUY,56.24,294,294,PENDING,2025-01-17 11:09:16.0
BUY-1763965650522-001844,TRADER-0344,FOREX,BUY,1.97,91,91,PENDING,2025-01-16 02:36:48.0
BUY-1763965650524-003156,TRADER-0156,CRYPTO,BUY,287.48,71,71,PENDING,2025-01-16 17:36:51.0
BUY-1763965650519-000334,TRADER-0334,FOREX,BUY,3.5,62,62,PENDING,2025-01-15 08:18:40.0
BUY-1763965650524-003456,TRADER-0456,EQUITY,BUY,87.55,41,41,PENDING,2025-01-16 21:06:39.0
BUY-1763965650523-002631,TRADER-0131,EQUITY,BUY,70.94,307,307,PENDING,2025-01-16 11:38:53.0
BUY-1763965650521-001543,TRADER-0043,FOREX,BUY,1.02,865,865,PENDING,2025-01-15 22:42:31.0
BUY-1763965650525-003926,TRADER-0426,FOREX,BUY,3.56,626,626,PENDING,2025-01-17 03:02:27.0
BUY-1763965650521-001375,TRADER-0375,FOREX,BUY,2.45,93,93,PENDING,2025-01-15 20:16:58.0
BUY-1763965650524-003367,TRADER-0367,FOREX,BUY,3.39,236,236,PENDING,2025-01-16 20:41:11.0
BUY-1763965650519-000285,TRADER-0285,EQUITY,BUY,100.0,98,98,PENDING,2025-01-15 07:16:26.0
BUY-1763965650524-003215,TRADER-0215,FOREX,BUY,3.43,591,591,PENDING,2025-01-16 18:56:48.0
BUY-1763965650526-004562,TRADER-0062,EQUITY,BUY,65.64,732,732,PENDING,2025-01-17 11:05:36.0
BUY-1763965650521-001200,TRADER-0200,EQUITY,BUY,112.28,711,711,PENDING,2025-01-15 18:11:20.0
BUY-1763965650521-001182,TRADER-0182,FOREX,BUY,3.42,495,495,PENDING,2025-01-15 18:30:28.0
BUY-1763965650524-003209,TRADER-0209,FOREX,BUY,3.55,966,966,PENDING,2025-01-16 18:03:41.0
BUY-1763965650518-000080,TRADER-0080,FOREX,BUY,3.0,77,77,PENDING,2025-01-15 05:01:39.0
BUY-1763965650525-004211,TRADER-0211,FOREX,BUY,3.06,59,59,PENDING,2025-01-17 06:03:49.0
BUY-1763965650525-003949,TRADER-0449,EQUITY,BUY,59.24,778,778,PENDING,2025-01-17 03:29:27.0
BUY-1763965650524-003371,TRADER-0371,FOREX,BUY,3.79,261,261,PENDING,2025-01-16 20:52:26.0
BUY-1763965650522-001848,TRADER-0348,FOREX,BUY,1.47,558,558,PENDING,2025-01-16 02:20:34.0
