orderId,traderId,tradeType,orderType,price,quantity,countryCode,timestamp
BUY-1763965650526-004688,TRADER-0188,FOREX,BUY,1.42,844,US,2025-01-17 12:29:13
BUY-1763965650519-000329,TRADER-0329,EQUITY,BUY,300.00,23,IN,2025-01-15 08:09:30
BUY-1763965650521-001162,TRADER-0162,EQUITY,BUY,259.27,120,UK,2025-01-15 18:06:29
BUY-1763965650521-001212,TRADER-0212,CRYPTO,BUY,3618.06,9,JP,2025-01-15 18:19:13
BUY-1763965650521-001453,TRADER-0453,FOREX,BUY,4.16,892,JP,2025-01-15 21:06:12
BUY-1763965650520-000646,TRADER-0146,EQUITY,BUY,260.34,380,FR,2025-01-15 12:03:41
BUY-1763965650520-000916,TRADER-0416,EQUITY,BUY,465.10,146,FR,2025-01-15 14:40:20
BUY-1763965650520-000669,TRADER-0169,FOREX,BUY,9.39,435,JP,2025-01-15 12:24:10
BUY-1763965650521-001216,TRADER-0216,CRYPTO,BUY,4542.25,2,SG,2025-01-15 18:37:35
BUY-1763965650522-002037,TRADER-0037,CRYPTO,BUY,337.34,131,DE,2025-01-16 04:10:04
BUY-1763965650522-001694,TRADER-0194,EQUITY,BUY,211.98,250,JP,2025-01-15 23:57:50
BUY-1763965650522-001623,TRADER-0123,CRYPTO,BUY,1350.22,32,SG,2025-01-15 23:08:39
BUY-1763965650521-001229,TRADER-0229,FOREX,BUY,5.83,541,FR,2025-01-15 18:22:09
BUY-1763965650520-000880,TRADER-0380,EQUITY,BUY,338.39,252,FR,2025-01-15 14:28:46
BUY-1763965650519-000269,TRADER-0269,FOREX,BUY,3.50,61,IN,2025-01-15 07:03:37
BUY-1763965650519-000521,TRADER-0021,FOREX,BUY,2.67,18,SG,2025-01-15 10:28:56
BUY-1763965650518-000149,TRADER-0149,FOREX,BUY,3.50,13,DE,2025-01-15 05:25:10
BUY-1763965650518-000011,TRADER-0011,EQUITY,BUY,200.00,25,IN,2025-01-15 03:53:55
BUY-1763965650520-000894,TRADER-0394,FOREX,BUY,1.71,986,JP,2025-01-15 14:23:19
BUY-1763965650521-001580,TRADER-0080,EQUITY,BUY,237.51,405,SG,2025-01-15 22:43:35
BUY-1763965650519-000417,TRADER-0417,FOREX,BUY,3.00,87,SG,2025-01-15 09:03:47
BUY-1763965650529-007040,TRADER-0040,FOREX,BUY,6.57,369,FR,2025-01-18 16:40:53
BUY-1763965650522-001653,TRADER-0153,FOREX,BUY,8.15,135,JP,2025-01-15 23:42:30
BUY-1763965650522-001846,TRADER-0346,FOREX,BUY,1.50,269,DE,2025-01-16 01:51:28
BUY-1763965650522-001815,TRADER-0315,EQUITY,BUY,451.17,39,UK,2025-01-16 01:48:19
BUY-1763965650518-000070,TRADER-0070,CRYPTO,BUY,2000.00,109,DE,2025-01-15 05:00:37
BUY-1763965650519-000328,TRADER-0328,CRYPTO,BUY,2500.00,12,IN,2025-01-15 07:32:02
BUY-1763965650521-001469,TRADER-0469,CRYPTO,BUY,3397.83,11,SG,2025-01-15 21:40:01
BUY-1763965650526-005055,TRADER-0055,EQUITY,BUY,279.59,227,FR,2025-01-17 16:58:06
BUY-1763965650523-002621,TRADER-0121,FOREX,BUY,1.85,570,US,2025-01-16 11:23:46
BUY-1763965650526-004933,TRADER-0433,FOREX,BUY,6.16,300,US,2025-01-17 14:57:09
BUY-1763965650524-003460,TRADER-0460,CRYPTO,BUY,2154.18,16,UK,2025-01-16 21:37:45
BUY-1763965650526-004653,TRADER-0153,CRYPTO,BUY,266.36,168,US,2025-01-17 12:01:31
BUY-1763965650521-001247,TRADER-0247,FOREX,BUY,7.07,367,JP,2025-01-15 19:23:17
BUY-1763965650521-001235,TRADER-0235,CRYPTO,BUY,1533.83,16,JP,2025-01-15 18:42:36
BUY-1763965650520-000896,TRADER-0396,EQUITY,BUY,87.28,796,UK,2025-01-15 14:40:41
BUY-1763965650524-003057,TRADER-0057,EQUITY,BUY,255.75,380,FR,2025-01-16 17:10:01
BUY-1763965650523-002927,TRADER-0427,EQUITY,BUY,414.14,33,UK,2025-01-16 15:04:56
BUY-1763965650523-002634,TRADER-0134,CRYPTO,BUY,3470.83,9,US,2025-01-16 11:54:32
BUY-1763965650518-000075,TRADER-0075,CRYPTO,BUY,1500.00,38,FR,2025-01-15 04:37:53
BUY-1763965650522-001669,TRADER-0169,CRYPTO,BUY,879.47,41,IN,2025-01-16 00:06:52
BUY-1763965650526-004535,TRADER-0035,EQUITY,BUY,397.34,176,IN,2025-01-17 10:53:44
BUY-1763965650522-001831,TRADER-0331,EQUITY,BUY,64.70,477,JP,2025-01-16 02:11:02
BUY-1763965650522-001766,TRADER-0266,EQUITY,BUY,218.63,218,US,2025-01-16 01:23:20
BUY-1763965650526-004670,TRADER-0170,EQUITY,BUY,54.74,124,US,2025-01-17 12:20:16
BUY-1763965650521-001215,TRADER-0215,CRYPTO,BUY,4873.23,10,UK,2025-01-15 18:24:23
BUY-1763965650522-001771,TRADER-0271,EQUITY,BUY,107.45,637,US,2025-01-16 01:08:49
BUY-1763965650521-001466,TRADER-0466,CRYPTO,BUY,180.93,175,US,2025-01-15 21:10:19
BUY-1763965650524-003161,TRADER-0161,FOREX,BUY,7.36,287,FR,2025-01-16 17:37:02
BUY-1763965650522-001630,TRADER-0130,EQUITY,BUY,126.33,342,US,2025-01-15 23:39:09
BUY-1763965650525-004215,TRADER-0215,EQUITY,BUY,266.20,318,US,2025-01-17 06:40:18
BUY-1763965650526-004640,TRADER-0140,EQUITY,BUY,262.40,372,US,2025-01-17 11:57:11
BUY-1763965650525-004068,TRADER-0068,CRYPTO,BUY,2073.60,11,JP,2025-01-17 05:02:26
BUY-1763965650523-002847,TRADER-0347,FOREX,BUY,3.58,883,IN,2025-01-16 13:46:50
BUY-1763965650523-002664,TRADER-0164,EQUITY,BUY,329.61,65,FR,2025-01-16 12:19:08
BUY-1763965650521-001367,TRADER-0367,CRYPTO,BUY,2382.64,18,US,2025-01-15 20:00:26
BUY-1763965650522-001662,TRADER-0162,EQUITY,BUY,293.29,287,IN,2025-01-16 00:11:14
BUY-1763965650521-001306,TRADER-0306,EQUITY,BUY,142.34,228,DE,2025-01-15 19:31:15
BUY-1763965650525-004336,TRADER-0336,CRYPTO,BUY,1156.60,12,DE,2025-01-17 08:26:49
BUY-1763965650525-004180,TRADER-0180,EQUITY,BUY,391.19,138,DE,2025-01-17 06:12:01
BUY-1763965650519-000311,TRADER-0311,EQUITY,BUY,250.00,81,UK,2025-01-15 07:40:52
BUY-1763965650518-000148,TRADER-0148,CRYPTO,BUY,2000.00,96,UK,2025-01-15 05:23:58
